Timestamp,Type,Reading #,Sensor Value,,,Average,
23:58:35,PERFUME,1,101,,,Perfume,592.5333333
23:58:35,PERFUME,2,101,,,Breath,206.8166667
23:58:36,PERFUME,3,100,,,,
23:58:36,PERFUME,4,99,,,,
23:58:37,PERFUME,5,97,,,,
23:58:37,PERFUME,6,100,,,,
23:58:38,PERFUME,7,103,,,,
23:58:38,PERFUME,8,188,,,,
23:58:39,PERFUME,9,342,,,,
23:58:39,PERFUME,10,453,,,,
23:58:40,PERFUME,11,522,,,,
23:58:40,PERFUME,12,544,,,,
23:58:41,PERFUME,13,513,,,,
23:58:41,PERFUME,14,499,,,,
23:58:42,PERFUME,15,528,,,,
23:58:42,PERFUME,16,598,,,,
23:58:43,PERFUME,17,645,,,,
23:58:43,PERFUME,18,677,,,,
23:58:44,PERFUME,19,701,,,,
23:58:44,PERFUME,20,720,,,,
23:58:45,PERFUME,21,733,,,,
23:58:45,PERFUME,22,740,,,,
23:58:46,PERFUME,23,747,,,,
23:58:46,PERFUME,24,752,,,,
23:58:47,PERFUME,25,755,,,,
23:58:47,PERFUME,26,757,,,,
23:58:48,PERFUME,27,759,,,,
23:58:48,PERFUME,28,762,,,,
23:58:49,PERFUME,29,767,,,,
23:58:49,PERFUME,30,774,,,,
23:58:50,PERFUME,31,776,,,,
23:58:50,PERFUME,32,773,,,,
23:58:51,PERFUME,33,764,,,,
23:58:51,PERFUME,34,754,,,,
23:58:52,PERFUME,35,736,,,,
23:58:52,PERFUME,36,721,,,,
23:58:53,PERFUME,37,716,,,,
23:58:53,PERFUME,38,717,,,,
23:58:54,PERFUME,39,714,,,,
23:58:54,PERFUME,40,711,,,,
23:58:55,PERFUME,41,712,,,,
23:58:55,PERFUME,42,709,,,,
23:58:56,PERFUME,43,708,,,,
23:58:56,PERFUME,44,707,,,,
23:58:57,PERFUME,45,708,,,,
23:58:57,PERFUME,46,710,,,,
23:58:58,PERFUME,47,683,,,,
23:58:58,PERFUME,48,644,,,,
23:58:59,PERFUME,49,616,,,,
23:58:59,PERFUME,50,601,,,,
23:59:00,PERFUME,51,604,,,,
23:59:00,PERFUME,52,608,,,,
23:59:01,PERFUME,53,607,,,,
23:59:01,PERFUME,54,598,,,,
23:59:02,PERFUME,55,592,,,,
23:59:02,PERFUME,56,594,,,,
23:59:03,PERFUME,57,617,,,,
23:59:03,PERFUME,58,646,,,,
23:59:04,PERFUME,59,661,,,,
23:59:04,PERFUME,60,668,,,,
00:01:05,BREATH,1,114,,,,
00:01:05,BREATH,2,114,,,,
00:01:06,BREATH,3,114,,,,
00:01:06,BREATH,4,114,,,,
00:01:07,BREATH,5,114,,,,
00:01:07,BREATH,6,114,,,,
00:01:08,BREATH,7,114,,,,
00:01:08,BREATH,8,147,,,,
00:01:09,BREATH,9,166,,,,
00:01:09,BREATH,10,201,,,,
00:01:10,BREATH,11,201,,,,
00:01:10,BREATH,12,221,,,,
00:01:11,BREATH,13,215,,,,
00:01:11,BREATH,14,215,,,,
00:01:12,BREATH,15,207,,,,
00:01:12,BREATH,16,201,,,,
00:01:13,BREATH,17,192,,,,
00:01:13,BREATH,18,179,,,,
00:01:14,BREATH,19,198,,,,
00:01:14,BREATH,20,190,,,,
00:01:15,BREATH,21,175,,,,
00:01:15,BREATH,22,196,,,,
00:01:16,BREATH,23,225,,,,
00:01:16,BREATH,24,228,,,,
00:01:17,BREATH,25,205,,,,
00:01:17,BREATH,26,216,,,,
00:01:18,BREATH,27,210,,,,
00:01:18,BREATH,28,197,,,,
00:01:19,BREATH,29,223,,,,
00:01:19,BREATH,30,230,,,,
00:01:20,BREATH,31,215,,,,
00:01:20,BREATH,32,202,,,,
00:01:21,BREATH,33,202,,,,
00:01:21,BREATH,34,208,,,,
00:01:22,BREATH,35,199,,,,
00:01:22,BREATH,36,188,,,,
00:01:23,BREATH,37,220,,,,
00:01:23,BREATH,38,234,,,,
00:01:24,BREATH,39,227,,,,
00:01:24,BREATH,40,251,,,,
00:01:25,BREATH,41,233,,,,
00:01:25,BREATH,42,234,,,,
00:01:26,BREATH,43,241,,,,
00:01:26,BREATH,44,220,,,,
00:01:27,BREATH,45,221,,,,
00:01:27,BREATH,46,230,,,,
00:01:28,BREATH,47,243,,,,
00:01:28,BREATH,48,227,,,,
00:01:29,BREATH,49,244,,,,
00:01:29,BREATH,50,254,,,,
00:01:30,BREATH,51,232,,,,
00:01:30,BREATH,52,245,,,,
00:01:31,BREATH,53,257,,,,
00:01:31,BREATH,54,238,,,,
00:01:32,BREATH,55,246,,,,
00:01:32,BREATH,56,248,,,,
00:01:33,BREATH,57,242,,,,
00:01:33,BREATH,58,231,,,,
00:01:34,BREATH,59,267,,,,
00:01:34,BREATH,60,274,,,,
